"Klient Project: Project Name","Region: Region Name","Account","Project End Date","Resource Manager","Project Products","Note","Project Status","Completion Date"
"NA220308-01RIT","NA","Rochester Institute of Technology","","Linda Zaleski","360 Link; 360 Link; 360 Link; Summon Unified Discovery Service; Summon Unified Discovery Service; Summon Unified Discovery Service","","Pipeline",""
"NA220305-01BEREA","NA","Berea College","6/6/2022","Linda Zaleski","Voyager Add. License Services","","Complete","6/29/2022"
"NA220304-01COLU","NA","Columbia University","","Linda Zaleski","Voyager Add. License Services","","Pipeline",""
"NA220298-PIEDM001","NA","Piedmont Community College","","Linda Zaleski","","","Onboarding",""
"NA220297-01HCC","NA","Howard Community College","","Linda Zaleski","360 Link; 360 Link; 360 Link; Summon Unified Discovery Service; Summon Unified Discovery Service; Summon Unified Discovery Service; 360 Core; 360 Core; 360 Core","","Pipeline",""
"NA220288-1NRCC","NA","National Research Council Canada FSLN","","Linda Zaleski","360 Link; 360 MARC Updates; Summon Unified Discovery Service; 360 Resource Manager","","Pipeline",""
"NA220284-01SINT","NA","SRI International","","Linda Zaleski","360 Link; 360 Link; 360 Link","","Pipeline",""
"NA220283-01REGENT","NA","Regent University","","Linda Zaleski","360 Link; Summon Discovery Service and Syndetic Solutions for Summon Package","","Pipeline",""
"NA220281-01BSTNARCH","NA","Boston Architectural College","","Linda Zaleski","Voyager Add. License Services","","In Progress",""
"NA220280-1LSUS","NA","Louisiana State University Shreveport","","Linda Zaleski","360 Link","","Booked",""
"NA220277-01VUNI","NA","Valparaiso University","","Linda Zaleski","360 Link; Summon Discovery Service and Syndetic Solutions for Summon Package","","Booked",""
"NA220268-01SLHS","NA","Saint Lukes Library","","Linda Zaleski","360 Link; 360 Link; 360 Link; Summon Unified Discovery Service; Summon Unified Discovery Service; Summon Unified Discovery Service","","Pipeline",""
"NA220266-01ATI","NA","Agilent Technologies Inc","","Linda Zaleski","360 Link","","Booked",""
"NA220265-1ATI","NA","Agilent Technologies, Inc.","","Linda Zaleski","360 MARC Updates","","Booked",""
"NA220262-01SSAL","NA","Social Security Administration  Library","","Linda Zaleski","360 Link; Summon Unified Discovery Service","","Pipeline",""
